,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
0,배추,211,월동(1포기),6,상품,4,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),4504.0,2주일전 (01/16),4881.0,1개월전,4766.0,1년전,3164.0,일평년,"3,417",2025-01-30,,,,
1,배추,211,월동(1포기),6,중품,5,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),,2주일전 (01/16),3920.0,1개월전,3782.0,1년전,,일평년,"2,958",2025-01-30,,,,
2,양배추,212,양배추(1포기),0,상품,4,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),4923.0,2주일전 (01/16),6603.0,1개월전,5122.0,1년전,3505.0,일평년,"4,146",2025-01-30,,,,
3,양배추,212,양배추(1포기),0,중품,5,1포기,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),4552.0,2주일전 (01/16),4703.0,1개월전,4105.0,1년전,3232.0,일평년,"3,458",2025-01-30,,,,
4,시금치,213,시금치(100g),0,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1056.0,2주일전 (01/16),1063.0,1개월전,958.0,1년전,968.0,일평년,790,2025-01-30,,,,
5,상추,214,적(100g),1,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1082.0,2주일전 (01/16),1085.0,1개월전,994.0,1년전,1234.0,일평년,"1,263",2025-01-30,,,,
6,상추,214,청(100g),2,상품,4,100g,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),1097.0,2주일전 (01/16),1107.0,1개월전,1109.0,1년전,1327.0,일평년,"1,324",2025-01-30,,,,
7,얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),2991.0,2주일전 (01/16),3100.0,1개월전,2994.0,1년전,3902.0,일평년,"3,156",2025-01-30,,,,
8,수박,221,수박(1개),0,상품,4,1개,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),29233.0,2주일전 (01/16),30000.0,1개월전,27489.0,1년전,28165.0,일평년,"23,673",2025-01-30,,,,
9,수박,221,수박(1개),0,중품,5,1개,당일 (01/30),,1일전 (01/29),-,1주일전 (01/23),26150.0,2주일전 (01/16),25880.0,1개월전,24374.0,1년전,26334.0,일평년,"22,900",2025-01-30,,,,
