,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,dpr3_rate,dpr4_rate,dpr5_rate,dpr6_rate
0,배추,211,월동(1포기),6,상품,4,1포기,당일 (01/20),4830.0,1일전 (01/19),-,1주일전 (01/13),5130.0,2주일전 (01/06),4090.0,1개월전,4397.0,1년전,2785.0,일평년,"3,410",2025-01-20,-6.211180124223603,15.320910973084887,8.9648033126294,42.339544513457554
1,배추,211,월동(1포기),6,중품,5,1포기,당일 (01/20),4330.0,1일전 (01/19),-,1주일전 (01/13),4000.0,2주일전 (01/06),3550.0,1개월전,3501.0,1년전,,일평년,"2,940",2025-01-20,7.621247113163972,18.013856812933028,19.145496535796767,
2,양배추,212,양배추(1포기),0,상품,4,1포기,당일 (01/20),5000.0,1일전 (01/19),-,1주일전 (01/13),5550.0,2주일전 (01/06),5000.0,1개월전,5174.0,1년전,3703.0,일평년,"4,072",2025-01-20,-11.0,0.0,-3.4799999999999995,25.94
3,양배추,212,양배추(1포기),0,중품,5,1포기,당일 (01/20),4000.0,1일전 (01/19),-,1주일전 (01/13),3490.0,2주일전 (01/06),3740.0,1개월전,3958.0,1년전,3352.0,일평년,"3,454",2025-01-20,12.75,6.5,1.05,16.2
4,시금치,213,시금치(100g),0,상품,4,100g,당일 (01/20),985.0,1일전 (01/19),-,1주일전 (01/13),930.0,2주일전 (01/06),915.0,1개월전,920.0,1년전,723.0,일평년,698,2025-01-20,5.583756345177665,7.1065989847715745,6.598984771573605,26.5989847715736
5,상추,214,적(100g),1,상품,4,100g,당일 (01/20),745.0,1일전 (01/19),-,1주일전 (01/13),865.0,2주일전 (01/06),824.0,1개월전,993.0,1년전,1210.0,일평년,"1,249",2025-01-20,-16.10738255033557,-10.604026845637584,-33.288590604026844,-62.41610738255034
6,상추,214,청(100g),2,상품,4,100g,당일 (01/20),739.0,1일전 (01/19),-,1주일전 (01/13),845.0,2주일전 (01/06),798.0,1개월전,1120.0,1년전,1306.0,일평년,"1,298",2025-01-20,-14.343707713125845,-7.983761840324763,-51.55615696887686,-76.72530446549392
7,얼갈이배추,215,얼갈이배추(1kg),0,상품,4,1kg,당일 (01/20),2185.0,1일전 (01/19),-,1주일전 (01/13),2575.0,2주일전 (01/06),1975.0,1개월전,2766.0,1년전,3809.0,일평년,"2,982",2025-01-20,-17.84897025171625,9.610983981693364,-26.590389016018307,-74.32494279176201
8,갓,216,갓(1kg),0,상품,4,1kg,당일 (01/20),,1일전 (01/19),-,1주일전 (01/13),,2주일전 (01/06),4660.0,1개월전,4842.0,1년전,,일평년,"4,441",2025-01-20,,,,
9,수박,221,수박(1개),0,상품,4,1개,당일 (01/20),26750.0,1일전 (01/19),-,1주일전 (01/13),26600.0,2주일전 (01/06),26250.0,1개월전,27200.0,1년전,25135.0,일평년,"22,794",2025-01-20,0.5607476635514018,1.8691588785046727,-1.6822429906542056,6.037383177570094
